"i";"j";"lon";"lat";"PL_1";"PL_2";"PL_3";"PL_4";"PL_5";"PL_6"
"2.0";"4.0";"-34.903808163869236";"-8.076872249064992";134.0432814325678;125.35605449505421;109.01906243362656;125.35605314990967;139.33295463675324;136.0752047954858
"2.0";"5.0";"-34.9033544964033";"-8.076872249064992";133.50791720094506;124.31362036566573;111.13225845509245;124.31361895236479;138.91573393499655;135.71316475780654
"2.0";"6.0";"-34.90290082893737";"-8.076872249064992";132.96775829039598;123.2170069751613;113.05302226807034;123.21700548653048;138.4953461473625;135.357332628882
"2.0";"7.0";"-34.902447161471436";"-8.076872249064992";132.42356719082233;122.0603606968848;114.81317677239599;122.06035912457519;138.0721107153165;135.00881394617846
"2.0";"8.0";"-34.9019934940055";"-8.076872249064992";131.87626544533987;120.83684274486676;116.43731500819882;120.83684107908795;137.64640069659504;134.66878952725244
"2.0";"9.0";"-34.90153982653957";"-8.076872249064992";131.32695591526917;119.53840017253069;117.94482020988754;119.53839840170723;137.2186488312035;134.33851203435876
"2.0";"10.0";"-34.901086159073635";"-8.076872249064992";130.77694663889258;118.1554683288313;119.35123127326142;118.15546643915378;136.7893540359902;134.0193004418223
"2.0";"11.0";"-34.9006324916077";"-8.076872249064992";130.22777582023974;116.6765797148716;120.66919097700065;116.67657768970322;136.35908828671558;133.71253213241602
"2.0";"12.0";"-34.90017882414177";"-8.076872249064992";129.68123720541232;115.0878436002934;121.90912028697679;115.08784141937583;135.92850381902701;133.4196323894967
"2.0";"13.0";"-34.899725156675835";"-8.076872249064992";121.69123626267654;110.68094195970136;122.23279805563098;133.32389049598692;133.63102619576983;139.42156880397818
"2.0";"14.0";"-34.8992714892099";"-8.076872249064992";122.73533042441746;109.73634013526703;122.12290167584894;128.9863394919059;134.32652505144534;136.6544908482191
"2.0";"15.0";"-34.89881782174397";"-8.076872249064992";128.07968540367267;109.47071375678757;125.24103816634718;109.47071093221895;134.64272039569352;132.63881721494468
"2.0";"16.0";"-34.898364154278035";"-8.076872249064992";127.56752525052093;107.224655879513;126.24333545682688;107.22465275358621;134.21924819971457;132.41607869514377
"2.0";"17.0";"-34.8979104868121";"-8.076872249064992";119.53498151373822;85.70246983314915;127.63306245532533;117.96437409618558;130.26050187382785;134.96611786221726
"2.0";"18.0";"-34.89745681934617";"-8.076872249064992";119.73504501662238;84.13438288880045;130.08159413733352;117.69734541378304;129.95260728144788;136.21356250540805
"2.0";"19.0";"-34.897003151880234";"-8.076872249064992";120.18660933387677;91.46077822259811;129.42347538345473;114.98577709840643;128.26262839905215;137.57917511545844
"2.0";"20.0";"-34.8965494844143";"-8.076872249064992";118.0241032709794;99.82545468483629;128.98996964492736;111.82712031736469;128.29690491989146;137.48357161647934
"2.0";"21.0";"-34.89609581694837";"-8.076872249064992";125.32702436315417;90.89937015055514;130.63991244899756;90.89936422872535;132.19549024733607;131.64483968849436
"2.0";"22.0";"-34.895642149482434";"-8.076872249064992";124.97207660446526;86.18311080756911;131.41818248645131;86.18310434208385;131.8201884628137;131.56677823675983
"2.0";"23.0";"-34.8951884820165";"-8.076872249064992";124.65839687361903;81.43595154513861;132.16848648034835;81.43594583588391;131.45884104447302;131.5159489676338
"2.0";"24.0";"-34.89473481455057";"-8.076872249064992";124.39017192198011;78.41724714737087;132.89276168789704;78.41724551324674;131.11343318121033;131.49275389504564
"2.0";"25.0";"-34.894281147084634";"-8.076872249064992";124.1712251139458;79.39956693332601;133.59275108029215;79.3995709001293;130.78602759224384;131.4973779924043
"2.0";"26.0";"-34.8938274796187";"-8.076872249064992";124.0048529457214;83.5251023756554;134.27002844883492;83.52510871710356;130.47873956415484;131.52978430754732
"2.0";"27.0";"-34.89337381215277";"-8.076872249064992";123.89367062346051;88.37950144798796;134.92601958755978;88.37950773268791;130.1937060804139;131.58971494178658
"2.0";"28.0";"-34.89292014468683";"-8.076872249064992";123.83948071959153;92.8765492378451;135.56202026498892;92.8765548169932;129.9330492508678;131.67669783900908
"2.0";"29.0";"-34.8924664772209";"-8.076872249064992";123.84317810437987;96.81400446435381;136.17921155123688;96.81400931417184;129.69883467235587;131.79005901333892
"2.0";"30.0";"-34.892012809754966";"-8.076872249064992";123.90470137736659;100.23908209810841;136.77867295364373;100.23908632820452;129.49302582887242;131.92893956082213
"2.0";"31.0";"-34.89155914228903";"-8.076872249064992";124.02303622891675;103.240100249536;137.36139372612317;103.24010397515457;129.31743612966244;132.09231657651054
"2.0";"32.0";"-34.8911054748231";"-8.076872249064992";124.19627035164848;105.89710861870039;137.92828264839923;105.89711193517347;129.1736806312505;132.27902694980116
"2.0";"33.0";"-34.890651807357166";"-8.076872249064992";124.42169378322387;108.2741291049828;138.48017651679342;108.27413208683373;129.06312983092738;132.4877929449281
"2.0";"34.0";"-34.89019813989123";"-8.076872249064992";124.69593396370112;110.4208646666858;139.01784754487448;110.42086737158377;128.98686809165494;132.71724848749255
"2.0";"35.0";"-34.8897444724253";"-8.076872249064992";125.01511208506838;112.37584870685252;139.542009837591;112.37585117966529;128.94565921137738;132.96596516112737
"2.0";"36.0";"-34.889290804959366";"-8.076872249064992";125.3750067600101;114.16920994433956;140.0533250745775;114.16921222035587;128.9399213578066;133.23247705448605
"2.0";"37.0";"-34.88883713749343";"-8.076872249064992";125.77121241033811;115.82478620677756;140.55240751570855;115.824788314101;128.96971306120443;133.5153037686885
"2.0";"38.0";"-34.8883834700275";"-8.076872249064992";126.19928249295833;117.36167734653873;141.03982842356584;117.36167930783341;129.03473123776973;133.81297108017654
"2.0";"39.0";"-34.887929802561565";"-8.076872249064992";126.65485102775776;118.79537664986098;141.51611998241714;118.79537848362455;129.13432138239529;134.12402893690728
"2.0";"40.0";"-34.88747613509563";"-8.076872249064992";127.13372921435138;120.13859850791498;141.98177878091914;120.13860022941387;129.26749921923772;134.44706663385372
