"lat";"lon";"PLBTS1";"PLBTS2";"PLBTS3";"PLBTS4";"PLBTS5";"PLBTS6";"SqEuclidean1";"SqEuclidean2";"SqEuclidean3";"latM";"longM";"distance";"Point_i";"Point_j"
-8.069648;-34.894848;112.84;122.64;123.24000000000001;119.79;112.24000000000001;103.39;"(23,26)";"(116,124)";"(232,248)";-8.067147777236249;-34.89416800048826;0.2879968577637122;232;248
-8.073025;-34.890671;107.2566666666667;129.39;127.8566666666667;109.39;114.2566666666667;136.0566666666667;"(10,33)";"(53,163)";"(106,325)";-8.072807285090386;-34.89067463890792;0.024218948637366722;106;325
-8.077058;-34.899471;126.29;116.79;126.54;133.44;137.54000000000002;141.09;"(3,13)";"(14,63)";"(26,125)";-8.076400623410473;-34.899747846647024;0.07921901277558109;26;125
-8.076916;-34.897266;119.9566666666667;85.5566666666667;133.75666666666672;118.52333333333331;136.6566666666667;141.29000000000002;"(2,18)";"(8,89)";"(15,178)";-8.076894707429485;-34.8973434020312;0.008846640844818131;15;178
-8.074231;-34.900223;124.29;103.99000000000001;96.49000000000001;116.2566666666667;134.0566666666667;139.29000000000002;"(8,13)";"(40,69)";"(80,137)";-8.073975120044414;-34.89920348351722;0.11582415302693615;80;137
-8.075132;-34.900131;117.99000000000001;122.09;124.82333333333331;133.9233333333333;139.75666666666672;136.9233333333333;"(6,12)";"(27,59)";"(53,117)";-8.075187871727444;-34.90011079606854;0.0066006945127894635;53;117
-8.063838;-34.886002;123.04;144.89;137.44;128.14;138.09;146.49;"(31,43)";"(152,215)";"(304,429)";-8.06391377274817;-34.885956972489396;0.009778491042102985;304;429
-8.065832;-34.89159;140.79000000000002;132.89;128.4566666666667;127.9233333333333;116.69;117.49000000000001;"(27,33)";"(131,163)";"(262,326)";-8.065800275366216;-34.890629528646755;0.10583174917588134;262;326
-8.07126;-34.890694;98.69;115.6233333333333;119.65666666666671;96.19;98.9566666666667;122.6233333333333;"(12,28)";"(58,144)";"(116,288)";-8.072358117800375;-34.89235320613835;0.21978251910817345;116;288
-8.069245;-34.888062;123.7566666666667;134.39;130.4733333333333;125.2566666666667;109.85666666666671;131.4733333333333;"(19,39)";"(93,191)";"(185,382)";-8.0692588634993;-34.88808891237571;0.003340869149995862;185;382
-8.072496;-34.892406;112.1233333333333;124.19;114.1566666666667;109.89;108.2233333333333;121.59;"(19,23)";"(92,111)";"(183,222)";-8.069348696957302;-34.89534745278956;0.4769407289410809;183;222
-8.066161;-34.893513;125.09;126.79;124.69;123.32333333333331;107.09;113.02333333333331;"(23,29)";"(114,144)";"(227,288)";-8.067372360881254;-34.89235336705666;0.18564017850379694;227;288
-8.066973;-34.894524;120.2233333333333;116.29;122.49000000000001;120.1233333333333;129.75666666666672;95.99000000000001;"(25,23)";"(122,112)";"(244,221)";-8.066608776488236;-34.89539288649842;0.10390921474498305;244;221
